iter	Passed	Remaining
880	13835	1868
881	13855	1853
882	13875	1838
883	13891	1822
884	13908	1807
885	13924	1791
886	13940	1776
887	13959	1760
888	13978	1745
889	13993	1729
890	14009	1713
891	14025	1698
892	14043	1682
893	14060	1667
894	14078	1651
895	14097	1636
896	14113	1620
897	14132	1605
898	14146	1589
899	14160	1573
900	14177	1557
901	14193	1542
902	14205	1525
903	14225	1510
904	14243	1495
905	14259	1479
906	14279	1464
907	14299	1448
908	14317	1433
909	14332	1417
910	14348	1401
911	14364	1386
912	14382	1370
913	14403	1355
914	14427	1340
915	14450	1325
916	14471	1309
917	14488	1294
918	14506	1278
919	14525	1263
920	14544	1247
921	14563	1232
922	14580	1216
923	14605	1201
924	14626	1185
925	14647	1170
926	14661	1154
927	14689	1139
928	14706	1123
929	14723	1108
930	14737	1092
931	14748	1076
932	14766	1060
933	14785	1044
934	14801	1029
935	14821	1013
936	14839	997
937	14858	982
938	14875	966
939	14895	950
940	14915	935
941	14934	919
942	14949	903
943	14963	887
944	14978	871
945	14994	855
946	15011	840
947	15029	824
948	15046	808
949	15060	792
950	15076	776
951	15090	760
952	15109	745
953	15128	729
954	15149	713
955	15168	698
956	15186	682
957	15205	666
958	15226	650
959	15247	635
960	15265	619
961	15284	603
962	15307	588
963	15327	572
964	15347	556
965	15364	540
966	15382	524
967	15402	509
968	15425	493
969	15447	477
970	15465	461
971	15486	446
972	15503	430
973	15523	414
974	15542	398
975	15563	382
976	15584	366
977	15604	351
978	15624	335
979	15645	319
980	15665	303
981	15685	287
982	15705	271
983	15727	255
984	15745	239
985	15756	223
986	15780	207
987	15799	191
988	15817	175
989	15834	159
990	15858	144
991	15873	128
992	15886	111
993	15901	95
994	15914	79
995	15932	63
996	15944	47
997	15965	31
998	15977	15
999	15992	0
